filename,total_points,total_distance_km,raw_elevation_gain_m,raw_elevation_loss_m,raw_gain_loss_ratio,gain_10m,loss_10m,ratio_10m,gain_25m,loss_25m,ratio_25m,gain_50m,loss_50m,ratio_50m,official_elevation_gain_m,accuracy_raw,accuracy_10m,accuracy_25m,accuracy_50m,noise_level,gradient_issues,data_quality_score
X-Marathon.gpx,6407,43.8533299831405,3275.09994506836,3478.29995727539,0.941580652990549,3123.04592608506,3326.44475894637,0.938853987484905,3051,3254,0.937704331924363,2987.11512861868,3187.49551123737,0.937135477708986,3000,109.169998168945,104.101530869502,102,99.5705042872894,Medium,761,60
CHEDI_10.gpx,929,12.650124247128,423.888,426.265,0.994423656645514,349.591587013796,351.879053013727,0.993499283403375,305,307,0.993217042156562,272.037187949155,275.219936329441,0.988435618354059,300,141.296,116.530529004599,102,90.6790626497184,Medium,20,70
la-barjo-et-le-raid-de-l-archange-2025-raid-de-l-archange-etape-1.gpx,3218,73.3090165262911,1963,2119,0.92638036809816,1649.58960170128,1805.58960170128,0.913601629155918,1534,1690,0.908000231724222,1385.55955760992,1539.50400971118,0.900003864147042,1510,130,109.244344483528,102,91.7589110999949,Medium,118,60
2024_Kodiak_Ultra_Marathons_by_UTMB_10k_Course_9c5dfaf240.gpx,515,10.4225495816408,381.735000000001,381.414000000001,1.00084160518492,325.405757003185,325.012412082807,1.00121024584217,305,303,1.0039917718104,296.031943085698,294.779279151165,1.00424949792313,300,127.245,108.468585667728,102,98.6773143618995,Medium,0,90
hochkoenigman-speed-trail-2024-1.gpx,749,20.1215624205307,1083,1083,1,1066.61467075996,1067.15763119736,0.999491208775979,1035,1036,0.999033015374379,992.686162251575,995.393099742996,0.99728053420089,1020,106.176470588235,104.57006576078,101,97.3221727697622,High,10,65
SKY_2024_de336280ae.gpx,1879,15.4683615077375,891.8515625,889.8359375,1.00226516475123,847.044456995575,843.976299939452,1.00363535925872,811,807,1.00492433411495,776.124188447461,771.467100862391,1.00603666388348,800,111.4814453125,105.880557124447,101,97.0155235559327,Medium,63,60
JAT_15_km_2024_243cdd0d29.gpx,688,17.1735442705056,696,692,1.00578034682081,631.10927763839,627.329621004178,1.006024993094,556,554,1.00481843346414,513.559657060119,511.192138338099,1.00463136762963,550,126.545454545454,114.747141388798,101,93.3744831018397,High,47,45
dolomiti-extreme-trail-2025-gps-35k.gpx,1652,35.9177157591867,2113.259594,2114.187896,0.999560917928934,2107.86678919876,2108.79509119876,0.999559795067868,2098,2099,0.999557784191922,2081.5907599113,2082.62249635595,0.99950459747436,2075,101.843835855422,101.583941648133,101,100.317626983677,High,0,75
dolomiti-extreme-trail-2025-gps-22k.gpx,1061,21.1194010921865,971.786527,970.781462,1.00103531540243,969.020601705566,968.015536705566,1.00103827362464,964,963,1.00104339855331,955.814854101905,954.814530612336,1.00104766261666,954,101.864415828092,101.574486551946,101,100.190236279026,Medium,13,77
volvic-volcanic-experience-2025.gpx,4340,110.698062850198,3898,3898,1,3551.6024853106,3551.6837761377,0.999977112031302,3416,3417,0.999801609409129,3224.25633186643,3227.17878320809,0.999094425336188,3381,115.291333924874,105.045917932878,101,95.3639849709088,Medium,135,60
Trail_50k2024_62c7002d87.gpx,30645,49.3298633690629,4094.49999999992,4099.7,0.99873161450836,3597.94502682847,3598.6341022629,0.999808517505573,3434,3437,0.999113187792685,3239.15566215819,3237.61357320143,1.00047630420428,3400,120.426470588233,105.821912553778,101,95.2692841811231,Medium,1734,60
Trail_80_K2024_Parc_Central_4454e3113a.gpx,17530,76.2530427192566,4579.30000000022,4583.70000000023,0.999040076793855,4211.89823272824,4218.40009698659,0.998458689524732,3938,3950,0.996957033278659,3683.05533870255,3701.31811479182,0.995065872339832,3900,117.417948717954,107.997390582775,101,94.4373163769884,Medium,2017,60
montan-aspe-2025-la-course-de-soudious-2025.gpx,420,9.69505073391306,438,438,1,369.8601189014,369.8601189014,1,350,351,0.999049251704723,327.646293444862,328.329893279042,0.997917948233852,347,126.224783861671,106.587930519135,101,94.4225629524097,Medium,28,62
GPX 2025 O-SEE 75k 2025.gpx,2052,74.8486737996534,3189.969419,3189.861784,1.00003374284132,3017.53907174421,3016.90488492163,1.00021021107618,2832,2831,1.00046285963624,2626.57010958163,2624.23664309189,1.00088919819631,2806,113.683870955096,107.538812250328,101,93.6054921447479,High,63,45
EXP_2024_V1_d870334997.gpx,13621,31.8670886985003,2364.7890625,2357.87890625,1.00293066629999,2161.51958087366,2154.26915905151,1.0033656062854,2112,2104,1.00366815804822,2066.87929099144,2058.25735463838,1.00418894961489,2100,112.60900297619,102.929503851127,101,98.4228233805448,Low,1766,70
2025_Desert_Rats_Trail_Running_Festival_by_UTMB_100k_Course_4e624a1649.gpx,5665,102.048199759635,3132.451,3132.451,1,2458.38179107041,2458.49582976225,0.999953614445687,2059,2059,1.00019931646009,1777.17987256865,1776.06553963601,1.0006274165608,2050,152.802487804878,119.921062979044,100,86.6917011009096,Medium,79,60
JAT_80_km_b683bd5621.gpx,3311,78.4026038184163,4823.9,4490.59999999999,1.07422170756692,4258.00346111202,3925.16364878373,1.08479641668735,3815,3484,1.0950340553168,3528.24606189368,3199.96250188638,1.10258981466619,3800,126.944736842105,112.052722660843,100,92.8485805761494,High,285,45
la-barjo-80.gpx,4495,80.8422613162476,3004,3004,1,2071.30268588694,2069.31634349359,1.00095990272323,1826,1822,1.00187881292435,1575.8850486679,1572.02029176738,1.00245846502158,1820,165.054945054945,113.807839883898,100,86.5870905861485,Medium,310,60
montan-aspe-2025-le-defi-de-l-ourdinse-2025.gpx,2016,36.1123944404742,3443,3443,1,2804.25311542688,2804.25311542689,0.999999999999999,2693,2693,0.999999999999999,2588.96101110785,2588.96101110785,0.999999999999998,2690,127.992565055762,104.247327711037,100,96.2439037586561,High,471,45
GT_2025_16337d7757.gpx,1582,17.6495278232078,696.975418,710.625417999999,0.980791568026913,676.771477120714,689.724580704678,0.981219889871504,650,662,0.982734164856959,612.752691273701,620.161909941499,0.988052767270893,650,107.226987384615,104.118688787802,100,94.2696448113385,Medium,16,74
